Customer_ID,Visit_Frequency,Avg_Order_Value,Last_Visit_Date,Preferred_Item,Preferred_Channel
1,6,53.845,2025-10-25,Chicken Parmesan Pizza,Walk-in
2,5,58.525999999999996,2024-12-17,Wings (8 pcs),Walk-in
3,6,54.35833333333333,2025-12-07,Cheesy Garlic Bread,Online
4,6,39.0,2025-09-10,Meat Feast Pizza,Walk-in
5,5,46.656,2025-11-23,Cheesy Garlic Bread,Online
6,1,74.84,2025-02-25,Spicy Chicken Pizza,Online
7,8,44.3925,2025-11-08,Cheesy Garlic Bread,Phone
8,2,69.645,2025-02-27,Cheesy Pepperoni Pizza,Online
9,7,64.05,2025-05-29,Cheesy Garlic Bread,Online
10,5,26.802,2025-09-30,Cheesy Pepperoni Pizza,Phone
11,7,44.26285714285715,2025-12-12,Cheesy Garlic Bread,Online
12,4,44.84,2025-11-05,Cheesy Garlic Bread,Walk-in
13,14,46.11214285714285,2025-12-30,BBQ Chicken Pizza,Online
14,6,23.76833333333333,2025-11-25,Caesar Salad,Online
15,4,41.58,2025-10-09,Chicken Parmesan Pizza,Online
16,4,34.695,2025-10-13,Cheesy Garlic Bread,Online
17,7,49.50714285714286,2025-08-23,Vegetarian Classic Pizza,Walk-in
18,12,37.6975,2025-11-21,Garlic Bread,Phone
19,4,64.0475,2025-04-27,BBQ Chicken Pizza,Phone
20,6,25.953333333333333,2025-12-22,Soft Drink 1.25L,Walk-in
21,8,44.10875,2025-11-24,BBQ Chicken Pizza,Online
22,8,25.30375,2025-11-23,Caesar Salad,Walk-in
23,4,53.81,2024-08-30,Farmhouse Classic Pizza,Online
24,5,29.598000000000003,2025-09-14,Caesar Salad,Online
25,8,45.27875,2025-09-29,Margherita Pizza,Phone
26,12,45.10916666666666,2025-12-15,Meat Feast Pizza,Walk-in
27,4,79.44,2025-12-09,Cheesy Pepperoni Pizza,Phone
28,10,41.688,2025-11-01,Farmhouse Classic Pizza,Online
29,9,30.964444444444446,2025-09-15,Caesar Salad,Online
30,6,36.98,2025-02-22,Chicken Parmesan Pizza,Phone
31,8,49.64375,2025-07-16,BBQ Chicken Pizza,Walk-in
32,10,46.822,2025-09-07,Cheesy Pepperoni Pizza,Walk-in
33,6,48.458333333333336,2025-11-03,Margherita Pizza,Online
34,8,36.807500000000005,2025-08-25,Prawns Paradise Pizza,Online
35,3,22.849999999999998,2025-06-17,Garlic Bread,Online
36,9,45.781111111111116,2025-10-30,Farmhouse Classic Pizza,Walk-in
37,10,46.405,2025-11-28,Italiano Pizza,Phone
38,6,32.10333333333333,2025-12-28,Cheesy Pepperoni Pizza,Online
39,3,71.89999999999999,2025-05-09,Margherita Pizza,Phone
40,8,41.4475,2025-10-17,Spicy Chicken Pizza,Online
41,8,53.435,2025-12-12,Wings (8 pcs),Phone
42,9,61.49555555555556,2025-03-16,Cheesy Pepperoni Pizza,Phone
43,3,43.93,2025-12-14,BBQ Chicken Pizza,Online
44,6,49.50666666666667,2025-12-01,Farmhouse Classic Pizza,Walk-in
45,5,31.556,2025-12-05,Spicy Chicken Pizza,Online
46,1,62.37,2024-05-01,Italiano Pizza,Walk-in
47,4,34.957499999999996,2025-12-09,Farmhouse Classic Pizza,Online
48,8,64.4125,2025-12-18,Spicy Chicken Pizza,Online
49,6,29.570000000000004,2025-10-25,Caesar Salad,Walk-in
50,7,46.635714285714286,2025-05-04,Garlic Bread,Online
51,1,83.16,2025-11-02,Meat Feast Pizza,Phone
52,7,45.04857142857143,2025-11-23,Italiano Pizza,Walk-in
53,6,46.586666666666666,2025-10-24,BBQ Chicken Pizza,Walk-in
54,9,53.5,2025-11-09,Cheesy Pepperoni Pizza,Phone
55,5,49.212,2025-05-31,Soft Drink 1.25L,Online
56,8,41.34875,2025-11-10,Prawns Paradise Pizza,Phone
57,10,41.625,2025-12-25,BBQ Chicken Pizza,Walk-in
58,5,32.692,2025-11-26,BBQ Chicken Pizza,Online
59,7,51.30571428571428,2025-08-17,Cheesy Pepperoni Pizza,Phone
60,10,41.291,2025-12-08,Cheesy Garlic Bread,Phone
61,7,43.67857142857143,2025-12-09,Meat Feast Pizza,Phone
62,3,46.410000000000004,2025-07-29,Chicken Parmesan Pizza,Walk-in
63,3,22.3,2025-02-07,Caesar Salad,Online
64,6,43.77166666666667,2025-11-26,BBQ Chicken Pizza,Online
65,7,67.32571428571428,2025-10-24,Wings (8 pcs),Phone
66,7,39.94428571428572,2024-09-16,Pasta Carbonara,Online
67,5,42.244,2025-07-21,Caesar Salad,Online
68,5,83.22200000000001,2025-07-20,BBQ Chicken Pizza,Online
69,8,52.92875,2025-10-10,Chicken Parmesan Pizza,Online
