Order_ID,Customer_ID,Order_Date,Order_Time,Day_of_Week,Item_Name,Category,Size,Quantity,Order_Channel,Total_Amount
1,1829,2025-10-16,14:06,Thursday,Chicken Parmesan Pizza,Pizza,Small,3,Walk-in,56.13
2,245,2025-11-23,13:14,Sunday,Cheesy Pepperoni Pizza,Pizza,Large,4,Walk-in,99.79
3,5324,2025-06-01,20:26,Sunday,Meat Feast Pizza,Pizza,Large,2,Online,49.9
4,6217,2024-08-13,21:44,Tuesday,Pasta Carbonara,Pasta,Standard,3,Walk-in,59.97
5,1764,2025-03-08,22:21,Saturday,Cheesy Garlic Bread,Side,Standard,3,Walk-in,35.97
6,6943,2024-04-14,19:16,Sunday,Cheesy Pepperoni Pizza,Pizza,Medium,1,Phone,20.79
7,646,2024-02-14,20:53,Wednesday,Pasta Carbonara,Pasta,Standard,1,Phone,19.99
8,570,2025-10-05,12:14,Sunday,Garlic Bread,Side,Standard,2,Online,17.98
9,2278,2024-10-23,19:53,Wednesday,Cheesy Pepperoni Pizza,Pizza,Small,1,Phone,18.71
10,5491,2025-01-08,18:59,Wednesday,Spicy Chicken Pizza,Pizza,Medium,3,Walk-in,62.37
11,5974,2025-11-30,18:29,Sunday,Cheesy Pepperoni Pizza,Pizza,Large,2,Online,49.9
12,2657,2025-01-23,21:49,Thursday,Farmhouse Classic Pizza,Pizza,Large,2,Online,49.9
13,2194,2024-02-27,13:58,Tuesday,Vegetarian Classic Pizza,Pizza,Small,3,Phone,53.97
14,4090,2025-08-03,19:58,Sunday,Cheesy Garlic Bread,Side,Standard,2,Online,23.98
15,1144,2025-10-20,18:35,Monday,Pasta Carbonara,Pasta,Standard,2,Phone,39.98
16,3272,2025-07-05,19:08,Saturday,Farmhouse Classic Pizza,Pizza,Large,4,Online,99.79
17,7055,2025-06-05,14:40,Thursday,Soft Drink 1.25L,Drink,Standard,1,Walk-in,7.99
18,3127,2024-06-12,20:29,Wednesday,Wings (8 pcs),Wings,Standard,1,Phone,22.98
19,5905,2025-06-25,14:56,Wednesday,Farmhouse Classic Pizza,Pizza,Large,1,Online,24.95
20,2405,2025-07-03,19:29,Thursday,Farmhouse Classic Pizza,Pizza,Large,3,Walk-in,74.84
21,7477,2024-01-04,14:40,Thursday,Farmhouse Classic Pizza,Pizza,Large,2,Online,49.9
22,4419,2024-11-01,22:59,Friday,Margherita Pizza,Pizza,Small,3,Walk-in,53.97
23,160,2025-06-27,14:23,Friday,Meat Feast Pizza,Pizza,Large,3,Phone,74.84
24,7758,2024-11-10,13:46,Sunday,Vegetarian Classic Pizza,Pizza,Small,2,Online,35.98
25,5405,2025-05-12,19:35,Monday,Cheesy Pepperoni Pizza,Pizza,Large,2,Walk-in,49.9
26,7610,2024-06-18,20:46,Tuesday,Farmhouse Classic Pizza,Pizza,Large,4,Walk-in,99.79
27,5503,2025-12-07,20:28,Sunday,Margherita Pizza,Pizza,Large,3,Phone,71.96
28,1841,2025-06-13,13:01,Friday,Pasta Carbonara,Pasta,Standard,1,Walk-in,19.99
29,582,2025-08-25,20:03,Monday,Vegetarian Classic Pizza,Pizza,Large,2,Walk-in,47.98
30,4212,2024-08-22,18:42,Thursday,Cheesy Pepperoni Pizza,Pizza,Small,3,Walk-in,56.13
31,7664,2025-05-12,21:36,Monday,Margherita Pizza,Pizza,Large,2,Online,47.98
32,773,2025-04-29,13:27,Tuesday,Vegetarian Classic Pizza,Pizza,Medium,4,Walk-in,79.96
33,7077,2024-12-28,20:43,Saturday,Wings (8 pcs),Wings,Standard,4,Phone,91.92
34,2780,2025-10-31,21:06,Friday,Chicken Parmesan Pizza,Pizza,Small,4,Online,74.84
35,3457,2024-09-11,18:29,Wednesday,Margherita Pizza,Pizza,Small,4,Walk-in,71.96
36,5343,2024-09-12,22:53,Thursday,Cheesy Pepperoni Pizza,Pizza,Medium,1,Walk-in,20.79
37,3979,2024-01-16,19:55,Tuesday,Cheesy Pepperoni Pizza,Pizza,Small,2,Phone,37.42
38,3199,2025-02-14,18:50,Friday,Italiano Pizza,Pizza,Small,4,Walk-in,74.84
39,1556,2025-04-10,18:03,Thursday,Prawns Paradise Pizza,Pizza,Medium,4,Walk-in,83.16
40,411,2025-08-16,20:32,Saturday,Italiano Pizza,Pizza,Large,3,Walk-in,74.84
41,562,2025-06-27,20:43,Friday,Spicy Chicken Pizza,Pizza,Small,1,Walk-in,18.71
42,2017,2024-08-28,20:02,Wednesday,Caesar Salad,Salad,Standard,1,Online,9.99
43,1674,2025-09-26,20:20,Friday,Cheesy Pepperoni Pizza,Pizza,Medium,3,Phone,62.37
44,5288,2024-09-01,18:20,Sunday,Farmhouse Classic Pizza,Pizza,Medium,2,Online,41.58
45,4405,2024-03-15,18:16,Friday,Meat Feast Pizza,Pizza,Medium,1,Walk-in,20.79
46,3028,2024-05-15,18:28,Wednesday,Garlic Bread,Side,Standard,1,Walk-in,8.99
47,6694,2025-07-10,20:59,Thursday,Prawns Paradise Pizza,Pizza,Large,1,Online,24.95
48,7289,2025-11-10,14:35,Monday,Chicken Parmesan Pizza,Pizza,Small,3,Walk-in,56.13
49,2809,2024-06-08,18:40,Saturday,Farmhouse Classic Pizza,Pizza,Medium,2,Online,41.58
50,757,2024-09-27,20:53,Friday,Soft Drink 1.25L,Drink,Standard,3,Walk-in,23.97
51,5220,2024-10-10,22:10,Thursday,Italiano Pizza,Pizza,Small,3,Walk-in,56.13
52,617,2025-03-28,22:44,Friday,Wings (8 pcs),Wings,Standard,1,Walk-in,22.98
53,1045,2024-06-01,12:23,Saturday,Italiano Pizza,Pizza,Medium,2,Phone,41.58
54,2045,2024-02-10,20:22,Saturday,Garlic Bread,Side,Standard,2,Online,17.98
55,7083,2025-07-27,18:51,Sunday,Wings (8 pcs),Wings,Standard,2,Walk-in,45.96
56,6034,2024-06-30,22:50,Sunday,Wings (8 pcs),Wings,Standard,1,Walk-in,22.98
57,886,2025-02-25,19:02,Tuesday,Vegetarian Classic Pizza,Pizza,Medium,2,Online,39.98
58,2501,2025-04-26,21:55,Saturday,Vegetarian Classic Pizza,Pizza,Small,4,Phone,71.96
59,2690,2024-08-21,18:04,Wednesday,Vegetarian Classic Pizza,Pizza,Small,2,Phone,35.98
